Date,Price
2022-02-04,112.58
2022-02-05,113.82
2022-02-06,115.33
2022-02-07,117.57
2022-02-08,113.42
2022-02-09,114.04
2022-02-10,106.18
2022-02-11,96.52
2022-02-12,95.96
2022-02-13,92.9
2022-02-14,96.43
2022-02-15,105.54
2022-02-16,101.94
2022-02-17,93.58
2022-02-18,89.93
2022-02-19,91.31
2022-02-20,90.75
2022-02-21,82.99
2022-02-22,86.44
2022-02-23,84.61
2022-02-24,89.41
2022-02-25,92.84
2022-02-26,90.29
2022-02-27,85.66
2022-02-28,99.75
2022-03-01,98.65
2022-03-02,100.75
2022-03-03,95.6
2022-03-04,88.24
2022-03-05,89.61
2022-03-06,84.55
2022-03-07,81.88
2022-03-08,82.31
2022-03-09,88.07
2022-03-10,82.93
2022-03-11,80.67
2022-03-12,81.41
2022-03-13,78.76
2022-03-14,81.26
2022-03-15,82.85
2022-03-16,87.84
2022-03-17,87.88
2022-03-18,89.81
2022-03-19,92.41
2022-03-20,88.6
2022-03-21,88.65
2022-03-22,90.47
2022-03-23,94.89
2022-03-24,102.39
2022-03-25,98.65
2022-03-26,101.79
2022-03-27,107.08
2022-03-28,105.93
2022-03-29,111.78
2022-03-30,120.64
2022-03-31,122.84
2022-04-01,134.54
2022-04-02,132.51
2022-04-03,136.91
2022-04-04,132.13
2022-04-05,126.83
2022-04-06,112.99
2022-04-07,118.6
2022-04-08,109.97
2022-04-09,112.96
2022-04-10,111.02
2022-04-11,99.65
2022-04-12,103.26
2022-04-13,104.97
2022-04-14,100.77
2022-04-15,101.35
2022-04-16,102.1
2022-04-17,100.18
2022-04-18,102.37
2022-04-19,108.61
2022-04-20,105.59
2022-04-21,101.77
2022-04-22,100.54
2022-04-23,100.61
2022-04-24,99.23
2022-04-25,100.99
2022-04-26,95.71
2022-04-27,98.34
2022-04-28,98.22
2022-04-29,93.93
2022-04-30,84.65
2022-05-01,89.68
2022-05-02,87.47
2022-05-03,85.84
2022-05-04,92.75
2022-05-05,84.51
2022-05-06,81.65
2022-05-07,78.83
2022-05-08,75.31
2022-05-09,62.11
2022-05-10,66.85
2022-05-11,50.82
2022-05-12,44.58
2022-05-13,48.86
2022-05-14,52.34
2022-05-15,58.74
2022-05-16,53.69
2022-05-17,57.02
2022-05-18,49.83
2022-05-19,52.12
2022-05-20,49.37
2022-05-21,50.25
2022-05-22,52.46
2022-05-23,49.1
2022-05-24,49.63
2022-05-25,47.92
2022-05-26,43.43
2022-05-27,41.1
2022-05-28,44.22
2022-05-29,44.92
2022-05-30,47.18
2022-05-31,45.74
2022-06-01,40.09
2022-06-02,40.82
2022-06-03,38.23
2022-06-04,38.97
2022-06-05,38.49
2022-06-06,42.36
2022-06-07,39.29
2022-06-08,38.79
2022-06-09,39.93
2022-06-10,37.12
2022-06-11,33.86
2022-06-12,30.59
2022-06-13,28.54
2022-06-14,29.51
2022-06-15,34.71
2022-06-16,30.08
2022-06-17,30.67
2022-06-18,31.97
2022-06-19,34.16
2022-06-20,35.22
2022-06-21,36.37
2022-06-22,34.07
2022-06-23,38.13
2022-06-24,41.87
2022-06-25,42.2
2022-06-26,39.38
2022-06-27,38.46
2022-06-28,35.29
2022-06-29,33.96
2022-06-30,33.74
2022-07-01,32.8
2022-07-02,33.32
2022-07-03,33.36
2022-07-04,36.68
2022-07-05,35.37
2022-07-06,37.01
2022-07-07,38.46
2022-07-08,38.11
2022-07-09,38.05
2022-07-10,36.66
2022-07-11,33.4
2022-07-12,32.66
2022-07-13,34.93
2022-07-14,37.13
2022-07-15,37.37
2022-07-16,39.59
2022-07-17,38.62
2022-07-18,43.54
2022-07-19,44.88
2022-07-20,42.03
2022-07-21,43.11
2022-07-22,40.55
2022-07-23,39.98
2022-07-24,40.96
2022-07-25,36.6
2022-07-26,36.27
2022-07-27,40.24
2022-07-28,42.94
2022-07-29,41.93
2022-07-30,43.85
2022-07-31,42.37
2022-08-01,41.66
2022-08-02,39.75
2022-08-03,38.57
2022-08-04,38.82
2022-08-05,40.56
2022-08-06,40.07
2022-08-07,40.62
2022-08-08,42.22
2022-08-09,40.35
2022-08-10,42.48
2022-08-11,42.8
2022-08-12,45.52
2022-08-13,46.6
2022-08-14,44.87
2022-08-15,43.73
2022-08-16,43.09
2022-08-17,40.53
2022-08-18,39.51
2022-08-19,35.82
2022-08-20,35.28
2022-08-21,36.48
2022-08-22,35.42
2022-08-23,35.65
2022-08-24,34.88
2022-08-25,35.28
2022-08-26,31.73
2022-08-27,31.52
2022-08-28,30.43
